name,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,game_week
Stephen_Ireland,0,0,0,0,0,0,0,0,0,0,0,0,327,0,0,166,0,0,0,0,9699,0,0,2016-12-17T15:00:00Z,12/17/19 15:00,0,0,0,0,0,8,0,0,0,0,0,0,17,0,489,0,0,0,2,2,0,0,-2,7,9,44,TRUE,0,0,17
Stephen_Kingsley,0,0,0,0,0,0,0,0,0,0,0,0,365,0,0,165,0,0,0,0,9737,0,0,2016-12-17T15:00:00Z,12/17/19 15:00,0,0,0,0,0,12,0,0,0,0,0,0,17,0,473493,0,0,0,0,3,0,0,-18691,1151,19842,41,FALSE,0,0,17
Stephen_Ward,0,30,1,0,0,24,0,6,20,23.6,0,0,57,0,0,168,0,2,0,4.9,9429,25,1,2016-12-18T16:00:00Z,12/18/19 16:00,0,0,90,0,3,17,0,0,0,0,6,0,17,0,21196,2,4,0,1,2,0,1,732,1421,689,44,FALSE,0,0,17
Steven_Berghuis,0,0,0,0,0,0,0,0,0,0,0,0,421,0,0,167,0,0,0,0,9793,0,0,2016-12-17T15:00:00Z,12/17/19 15:00,0,0,0,0,0,15,0,0,0,0,0,0,17,0,40,0,0,0,0,1,0,0,0,0,0,50,FALSE,0,0,17
Steven_Davis,1,41,1,0,0,17,0,2,37,15,0,0,305,0,0,161,2,0,0,3.8,9677,20.8,1,2016-12-18T13:30:00Z,12/18/19 13:30,0,0,45,0,0,2,0,0,0,0,6,0,17,0,22493,3,0,0,3,1,2,3,-290,161,451,52,FALSE,0,1,17
Steven_Defour,0,6,0,0,0,3,0,0,6,0.6,0,0,525,0,0,168,0,0,0,0.2,9897,1,0,2016-12-18T16:00:00Z,12/18/19 16:00,0,0,7,0,0,17,0,0,0,0,1,0,17,0,11025,0,0,0,1,2,0,1,-470,100,570,58,FALSE,0,0,17
Steven_Pienaar,0,0,0,0,0,0,0,0,0,0,0,0,533,0,0,167,0,0,0,0,9905,0,0,2016-12-17T15:00:00Z,12/17/19 15:00,0,0,0,0,0,18,0,0,0,0,0,0,17,0,474,0,0,0,0,1,0,0,-24,7,31,49,TRUE,0,0,17
Steve_Cook,0,31,0,0,0,18,0,18,24,1,1,0,32,0,0,161,0,3,0,7.1,9404,39.4,0,2016-12-18T13:30:00Z,12/18/19 13:30,0,0,90,0,0,13,0,0,0,0,5,0,17,0,155911,1,0,0,3,1,31,1,8332,10734,2402,51,TRUE,0,0,17
Steve_Mandanda,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,162,0,0,0,0,9474,0,0,2016-12-17T12:30:00Z,12/17/19 12:30,0,0,0,0,0,4,0,0,0,0,0,0,17,0,110933,0,0,0,1,0,0,0,-3293,32,3325,43,TRUE,0,0,17
Stewart_Downing,0,35,0,0,0,16,1,3,32,18,1,0,282,0,0,165,0,0,0,4.5,9654,11.8,1,2016-12-17T15:00:00Z,12/17/19 15:00,0,0,79,0,1,16,0,0,0,0,4,0,17,0,18963,1,0,0,0,3,15,3,-514,591,1105,51,TRUE,0,0,17
Stuart_Taylor,0,0,0,0,0,0,0,0,0,0,0,0,597,0,0,161,0,0,0,0,9969,0,0,2016-12-18T13:30:00Z,12/18/19 13:30,0,0,0,0,0,2,0,0,0,0,0,0,17,0,4179,0,0,0,3,1,0,0,45,173,128,40,FALSE,0,0,17
Sullay_Kaikai,0,0,0,0,0,0,0,0,0,0,0,0,494,0,0,162,0,0,0,0,9866,0,0,2016-12-17T12:30:00Z,12/17/19 12:30,0,0,0,0,0,4,0,0,0,0,0,0,17,0,867,0,0,0,1,0,0,0,-6,1,7,45,TRUE,0,0,17
